community_names	year	month	pce_rate	fuel_price	diesel_efficiency	peak_consumption_kw	residential_kwh_sold	commercial_kwh_sold	community_kwh_sold	government_kwh_sold
Adak	2019	1	0.7693	4.3269	12.19796408700051	311	16456	56791	22979	26293
Adak	2019	2	0.7693	4.3269	11.62803749132145	310	18758	52099	23623	26883
Adak	2019	3	0.7693	4.3269	10.35780865786012	323	17348	43708	19130	29206
Adak	2019	4	0.7693	4.43	10.99519643163493	312	21120	47089	17649	23942
Adak	2019	5	0.7693	4.43	12.21795877612153	282	16457	44267	20206	21107
Adak	2019	6	0.7686	4.43	12.17640080943409	282	17269	45464	16718	20750
Adak	2019	7	0.7686	4.43	12.42104505541961	277	18503	46165	13077	21311
Adak	2019	8	0.7686	4.43	9.127630574637443	286	18848	45301	11886	21943
Adak	2019	9	0.7686	4.43	11.77918019729183	306	23709	58020	10820	22999
Adak	2019	10	0.7686	4.43	11.6206537115628	250	17645	43133	9825	18535
Adak	2019	11	0.7686	4.43	8.793900045296693	294	20084	46878	14260	22176
Adak	2019	12	0.7686	4.43	11.17720075147611	267	21836	47511	15100	24943
Akhiok	2019	1	0.3265	3.3792	9.712066905615293	0	7452	12048	2745	536
Akhiok	2019	2	0.3265	3.3792	18.17181956411556	0	18895	8176	2597	509
Akhiok	2019	3	0.3265	3.3792	10.51797144263909	0	7715	8601	2584	501
Akhiok	2019	4	0.3265	3.3792	4.320258311408754	0	4952	8997	2572	426
Akhiok	2019	6	0.3265	3.3792	9.958064516129033	0	6482	6690	2041	395
Akhiok	2019	7	0.333	3.4486	6.185881157948197	0	6569	2421	2087	432
Akhiok	2019	8	0.333	3.4486	7.898687664041995	37	6374	4878	2215	435
Akhiok	2019	9	0.333	3.4486	13.86846114779076	37	6610	11334	2189	892
Akhiok	2019	10	0.333	3.4486	10.51965484180249	37	6786	9465	2706	471
Akhiok	2019	11	0.333	3.4486	11.07380073800738	37	6652	8044	2487	468
Akhiok	2019	12	0.333	3.4486	14.40815370196814	37	8623	12500	4663	750
Akiachak	2019	1	0.2658	3.2779	14.47590410402275	438	56128	33510	18484	46177
Akiachak	2019	2	0.2658	3.2779	15.36938905581353	385	52284	29352	17926	52668
Akiachak	2019	3	0.2658	3.2779	12.9185376344086	469	50751	20977	16273	48568
Akiachak	2019	4	0.2658	3.2779	15.70149773598049	386	54734	35504	18760	58959
Akiachak	2019	5	0.2658	3.2779	13.90308624170753	363	60293	21567	15972	37959
Akiachak	2019	6	0.2658	3.2779	13.58485212266725	329	54052	16454	14882	30079
Akiachak	2019	7	0.2651	3.2779	12.97295577473751	386	48826	16198	14547	28203
Akiachak	2019	8	0.2651	3.2779	13.73198343304188	347	52724	18810	14086	46582
Akiachak	2019	9	0.2651	3.2779	0	344	76853	21321	13739	53042
Akiachak	2019	10	0.2651	3.2779	14.21261101243339	350	54765	24200	14133	47868
Akiachak	2019	11	0.2651	3.296	15.12661195779601	379	59571	31470	16049	58692
Akiachak	2019	12	0.2651	3.296	14.29369031099502	379	55757	27617	19588	49061
Akiak	2019	1	0.2977	3.9006	12.68610448731845	247	37243	48060	19031	2491
Akiak	2019	2	0.2836	3.7304	0	242	30041	50931	16768	1405
Akiak	2019	3	0.2836	3.7304	12.8784746152079	228	31473	47283	18807	1333
Akiak	2019	4	0.2553	3.0212	12.23860684769776	237	28763	45719	15572	1235
Akiak	2019	5	0.2553	3.7304	0	217	30812	44874	15435	1282
